name,price,review,revenue,weekly_price,monthly_price,img
"골든벨금속 다솜 4인조 수저세트, 1세트, 숟가락 4p + 젓가락 4p",16250,5.0,813,113750,487500,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/lkcf9f6e/3c92b763f12c4f6e9bbfd95d1eb8848b.jpg
"코멧 옻칠 나무수저 4인세트, 브라운, 4세트",11680,4.5,584,81760,350400,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1767030406021207-4ead2225-3db7-4c18-a4e6-14b071215da8.jpg
"보겐 노비아 네이쳐 샤틴 수저세트, 바닐라, 숟가락 + 젓가락",17830,5.0,891,124810,534900,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/csggysg0/ca7afe3f16b8444b9e9b8762a71497fd.jpg
"보네르 주니어 진공 젓가락 2종 + 스푼 2종 세트, 하늘, 블루",8600,4.5,430,60200,258000,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/ovqelpmo/14d6f998a3e0434ab5c092382c7083e4.jpg
"주방애몰 이조방자 수저저분 숟가락 진공저분 진공젓가락 젓가락 저분 업소용 수저 식당 젓가락 심플, 이조방자저분(젓가락)",430,4.5,21,3010,12900,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/images/2017/03/15/12/2/27ef4b31-3b10-41f4-b3aa-07499e9212b1.jpg
"라온누리 퓨어라이트 디너웨어 디너스푼, 10개",15000,5.0,750,105000,450000,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/ed39/b33ca9bff31189cf25d9ceb17017882590668134bdbe4b562b4a13a5d107.jpg
"니코트 대추나무로 만든 씨리얼 스푼, 혼합 색상, 1개",4610,4.5,230,32270,138300,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/7222988202831-fdf136fb-d23e-409f-a71b-31558c8572de.jpg
"보겐 노비아 네이쳐 샤틴 숟가락 2종 세트, 바닐라, 블루",18700,0.0,935,130900,561000,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/yhns7n4j/6d3103c1df18438ab3dc5f1f505c31fa.jpg
"프렌치블랑 패턴 수저세트, 1세트, 숟가락 4종 + 젓가락 4종",16900,4.5,845,118300,507000,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2020/07/01/20/3/d8bd5425-a7d7-44b4-9e9d-0596910bb03d.jpg
"라온누리 에라토 프로포즈 컬러 수저세트, 딥블랙, 숟가락 2p + 젓가락 2p",18170,4.5,909,127190,545100,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/h6rlsji6/1f6168152c3b4831b791a9f970659db5.jpg
"카운테즈 패턴 테이블스푼 208mm, 4개입",11200,5.0,560,78400,336000,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2019/02/26/22/5/85b11103-3af6-473c-9da0-7715da732611.jpg
"올스텐 민무늬 숟가락 1P / 식당숟가락 스텐숟가락, 단품",550,5.0,28,3850,16500,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/f74d/a1121b50504d5e6868cb5fb361858694721a4b5db3fc4636cce4c138ecac.jpg
"보겐 노비아 네이쳐 샤틴 수저세트, 그레이, 숟가락 + 젓가락",17830,5.0,891,124810,534900,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/npguutqb/8bc8611df44a44818780ba6e747337f3.jpg
"리락쿠마 편한 스푼 3종 세트, 브라운, 핑크. 옐로우",9260,5.0,463,64820,277800,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2021/05/11/9/3/93de4b0f-3fd1-4e4a-8848-d0ad48104c12.jpg
"오리엔탈 삼각 커트러리 테이블 숟가락, 연지회색, 수저 4p",11400,5.0,570,79800,342000,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/h2tofrll/b791f3fcdea342c6b7513bb288a39f79.jpg
"프렌치블랑 2인 수저세트 실버, 1세트, 블랙(숟가락 + 젓가락) + 화이트(숟가락 + 젓가락)",11900,4.5,595,83300,357000,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2020/08/14/14/5/2b9540e0-f5f9-49e9-a8a5-40f94964cfb7.jpg
"마호커트러리 틴트 성인용 숟가락, 카푸치노, 단품, 5개",14050,5.0,703,98350,421500,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2017/05/17/17/3/27785244-6b7c-4413-b62d-4b99b85c975e.jpg
"라온누리 에라토 프로포즈 컬러 수저세트, 실버, 숟가락 2p + 젓가락 2p",17200,4.5,860,120400,516000,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/2vn59qoi/356895e434ea46b688350dd63623848d.jpg
